dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
LiSyn6bblsc,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:24:38.720+0000,,false
vC9pW0FEvd2,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:08.683+0000,,false
sv6SeKroHPV,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,3,hmis.amuria1,2022-02-08T09:20:31.604+0000,,false
D9A0afrTYPw,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:22:38.274+0000,,false
MxD5pnf5rVM,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:25:11.148+0000,,false
sQ4EexvvhVe,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:20:59.112+0000,,false
y6ofkvr4JP8,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:27:26.198+0000,,false
p9EPi77rptk,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:44.025+0000,,false
uqferbMcOHI,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:30:35.402+0000,,false
kY9yLRb9w5e,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:29.881+0000,,false
eJ6uwSt5TEp,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:37:40.511+0000,,false
USDfyVr5d8d,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:33:04.679+0000,,false
JhvC7ZR9hUe,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:57.876+0000,,false
QHnwKs2OUZv,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:23:28.462+0000,,false
sv6SeKroHPV,202201,l5C1tkKf11K,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.ongutoi,2022-02-17T04:42:02.520+0000,,false
eJ6uwSt5TEp,202201,l5C1tkKf11K,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.ongutoi,2022-02-17T04:51:32.721+0000,,false
sv6SeKroHPV,202201,o7CJeTwDapk,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-07T06:16:35.991+0000,,false
sv6SeKroHPV,202201,UiGav1NitiR,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-10T13:09:39.373+0000,,false
D9A0afrTYPw,202201,UiGav1NitiR,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-10T13:10:21.565+0000,,false
JhvC7ZR9hUe,202201,UiGav1NitiR,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-10T13:10:03.139+0000,,false
sv6SeKroHPV,202201,a4Cp1oW19Lo,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.wera,2022-02-11T15:36:20.557+0000,,false
wUDxFVBapIc,202201,lGdKcxEQz4E,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:22.315+0000,,false
aU0n2RXwQJC,202201,lGdKcxEQz4E,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:14:43.025+0000,,false
LiSyn6bblsc,202201,lGdKcxEQz4E,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:50.846+0000,,false
